datetime,season,holiday,workingday,weather,temp,humidity,windspeed,casual,registered,rented_bikes_count,profit
1/1/2011 0:00,Spring,0,0,Clear,9.84,81,,3,13,16,218.7292237
1/1/2011 1:00,Spring,0,0,,9.02,80,0,8,32,40,549.8292237
1/1/2011 2:00,Spring,0,0,Clear,9.02,,0,5,27,32,433.7292237
1/1/2011 3:00,Spring,0,0,Clear,9.84,75,0,3,10,13,180.0292237
1/1/2011 4:00,,0,0,Clear,,75,,0,1,1,12.32922374
1/1/2011 5:00,,0,,Mist,9.84,,6.0032,0,1,1,12.32922374
1/1/2011 6:00,Spring,0,0,Clear,,,0,2,0,2,33.82922374
1/1/2011 7:00,Spring,0,0,Clear,8.2,,,1,2,3,42.42922374
1/1/2011 8:00,Spring,0,0,,9.84,,0,1,7,8,106.9292237
1/1/2011 9:00,Spring,0,0,Clear,,76,0,8,6,14,214.4292237
1/1/2011 10:00,Spring,0,0,Clear,15.58,76,,12,24,36,515.4292237
1/1/2011 11:00,Spring,,0,Clear,14.76,81,19.0012,26,30,56,833.6292237
1/1/2011 12:00,Spring,0,,Clear,,77,19.0012,29,55,84,1207.729224
1/1/2011 13:00,Spring,0,0,Mist,18.86,,,47,47,94,1414.129224
1/1/2011 14:00,Spring,0,0,Mist,18.86,72,19.0012,35,71,106,1517.329224
1/1/2011 15:00,Spring,0,0,Mist,18.04,77,19.9995,40,70,110,1590.429224
1/1/2011 16:00,Spring,0,0,Mist,17.22,82,19.9995,41,52,93,1375.429224
1/1/2011 17:00,Spring,,,Mist,18.04,82,19.0012,15,52,67,928.2292237
1/1/2011 18:00,Spring,,0,Rainy,17.22,88,16.9979,9,26,35,489.6292237
1/1/2011 19:00,Spring,0,0,Rainy,17.22,,16.9979,6,31,37,502.5292237
1/1/2011 20:00,Spring,0,0,Mist,16.4,,16.9979,11,25,36,511.1292237
1/1/2011 21:00,Spring,0,0,Mist,,87,12.998,3,31,34,450.9292237
1/1/2011 22:00,Spring,0,0,Mist,16.4,,,11,17,28,407.9292237
1/1/2011 23:00,Spring,0,0,Mist,,,,15,24,39,567.0292237
1/2/2011 0:00,Spring,0,,Mist,18.86,88,19.9995,4,13,17,235.9292237
1/2/2011 1:00,Spring,0,0,Mist,18.04,,,1,16,17,223.0292237
1/2/2011 2:00,Spring,0,0,Mist,17.22,100,19.0012,1,8,9,119.8292237
1/2/2011 3:00,Spring,0,0,Mist,,,12.998,2,4,6,85.42922374
1/2/2011 4:00,Spring,0,,Mist,18.86,,12.998,2,1,3,46.72922374
1/2/2011 6:00,Spring,0,0,Rainy,,,19.9995,0,2,2,25.22922374
1/2/2011 7:00,Spring,0,0,,16.4,,12.998,0,1,1,12.32922374
1/2/2011 8:00,Spring,0,0,Rainy,16.4,71,15.0013,0,8,8,102.6292237
1/2/2011 9:00,Spring,0,,Mist,15.58,76,,1,19,20,261.7292237
1/2/2011 10:00,Spring,0,,,14.76,81,15.0013,7,46,53,713.2292237
1/2/2011 11:00,Spring,0,0,,14.76,,16.9979,16,54,70,971.2292237
1/2/2011 12:00,Spring,0,0,Mist,14.76,66,,20,73,93,1285.129224
1/2/2011 13:00,Spring,0,0,Mist,14.76,,8.9981,11,64,75,1014.229224
1/2/2011 14:00,Spring,0,0,Rainy,14.76,76,,4,55,59,777.7292237
1/2/2011 15:00,Spring,0,0,Rainy,13.94,81,11.0014,19,55,74,1035.729224
1/2/2011 16:00,Spring,0,0,Rainy,13.94,71,11.0014,9,67,76,1018.529224
1/2/2011 17:00,Spring,0,0,Clear,13.94,57,,7,58,65,868.0292237
1/2/2011 18:00,Spring,0,0,,14.76,,22.0028,10,43,53,726.1292237
1/2/2011 19:00,Spring,0,0,Clear,13.12,42,,1,29,30,390.7292237
1/2/2011 20:00,Spring,0,0,Clear,12.3,39,23.9994,5,17,22,304.7292237
1/2/2011 21:00,Spring,0,0,,10.66,44,22.0028,11,20,31,446.6292237
1/2/2011 22:00,Spring,0,0,Clear,9.84,44,19.9995,0,9,9,115.5292237
1/2/2011 23:00,Spring,0,,,,47,11.0014,0,8,8,102.6292237
1/3/2011 0:00,Spring,0,1,Clear,,44,23.9994,0,5,5,63.92922374
1/3/2011 1:00,Spring,0,1,Clear,8.2,44,,0,2,2,25.22922374
1/3/2011 4:00,Spring,0,,Clear,6.56,,26.0027,0,1,1,12.32922374
1/3/2011 5:00,Spring,0,1,Clear,6.56,47,,0,3,3,38.12922374
1/3/2011 6:00,Spring,0,1,Clear,5.74,50,26.0027,0,30,30,386.4292237
1/3/2011 7:00,Spring,0,1,Clear,5.74,,12.998,1,63,64,829.3292237
1/3/2011 8:00,Spring,0,1,Clear,,,,1,153,154,1990.329224
1/3/2011 9:00,Spring,0,1,,6.56,43,,7,81,88,1164.729224
1/3/2011 10:00,Spring,0,1,,7.38,43,,11,33,44,614.3292237
1/3/2011 11:00,Spring,,1,Clear,8.2,,,10,41,51,700.3292237
1/3/2011 12:00,Spring,0,1,Clear,,,19.9995,13,48,61,842.2292237
1/3/2011 13:00,Spring,0,1,,9.84,35,,8,53,61,820.7292237
1/3/2011 14:00,Spring,0,1,Clear,10.66,30,19.0012,11,66,77,1040.029224
